# Mode B discovery set: frozen arXiv sample (UNLABELED).
# regenerate: python src/sample_arxiv.py --from 20260301 --to 20260331 --per-cat 35
# window 20260301..20260331; cats: stat.ME,eess.SY,cs.LG,q-bio.QM,q-fin.ST,physics.soc-ph,cond-mat.stat-mech,astro-ph.IM,q-bio.NC,math.OC
id,url,field,license,note
mb-cs-LG-004,https://arxiv.org/abs/2603.00857,cs.LG,arXiv,
mb-cs-LG-005,https://arxiv.org/abs/2603.00877,cs.LG,arXiv,
mb-cs-LG-006,https://arxiv.org/abs/2603.00883,cs.LG,arXiv,
mb-cs-LG-007,https://arxiv.org/abs/2603.00888,cs.LG,arXiv,
mb-cs-LG-008,https://arxiv.org/abs/2603.00895,cs.LG,arXiv,
mb-cs-LG-009,https://arxiv.org/abs/2603.00903,cs.LG,arXiv,
mb-cs-LG-010,https://arxiv.org/abs/2603.00910,cs.LG,arXiv,
mb-cs-LG-011,https://arxiv.org/abs/2603.00935,cs.LG,arXiv,
mb-cs-LG-012,https://arxiv.org/abs/2603.00945,cs.LG,arXiv,
mb-cs-LG-013,https://arxiv.org/abs/2603.02273,cs.LG,arXiv,
mb-cs-LG-014,https://arxiv.org/abs/2603.00951,cs.LG,arXiv,
mb-cs-LG-015,https://arxiv.org/abs/2603.00963,cs.LG,arXiv,
mb-cs-LG-016,https://arxiv.org/abs/2603.00971,cs.LG,arXiv,
mb-cs-LG-017,https://arxiv.org/abs/2603.00975,cs.LG,arXiv,
mb-cs-LG-018,https://arxiv.org/abs/2603.00977,cs.LG,arXiv,
mb-cs-LG-019,https://arxiv.org/abs/2603.00986,cs.LG,arXiv,
mb-cs-LG-020,https://arxiv.org/abs/2603.00992,cs.LG,arXiv,
mb-cs-LG-021,https://arxiv.org/abs/2603.00997,cs.LG,arXiv,
mb-cs-LG-022,https://arxiv.org/abs/2603.01006,cs.LG,arXiv,
mb-cs-LG-023,https://arxiv.org/abs/2603.01013,cs.LG,arXiv,
mb-cs-LG-024,https://arxiv.org/abs/2603.01019,cs.LG,arXiv,
mb-cs-LG-025,https://arxiv.org/abs/2603.01025,cs.LG,arXiv,
mb-cs-LG-026,https://arxiv.org/abs/2603.01034,cs.LG,arXiv,
mb-cs-LG-027,https://arxiv.org/abs/2603.01040,cs.LG,arXiv,
mb-cs-LG-028,https://arxiv.org/abs/2603.01042,cs.LG,arXiv,
mb-cs-LG-029,https://arxiv.org/abs/2603.01047,cs.LG,arXiv,
mb-cs-LG-030,https://arxiv.org/abs/2603.01052,cs.LG,arXiv,
mb-cs-LG-031,https://arxiv.org/abs/2603.01053,cs.LG,arXiv,
mb-cs-LG-032,https://arxiv.org/abs/2603.01064,cs.LG,arXiv,
mb-cs-LG-033,https://arxiv.org/abs/2603.01068,cs.LG,arXiv,
mb-q-bio-QM-001,https://arxiv.org/abs/2603.02274,q-bio.QM,arXiv,
mb-q-bio-QM-002,https://arxiv.org/abs/2603.01396,q-bio.QM,arXiv,
mb-q-bio-QM-003,https://arxiv.org/abs/2603.01537,q-bio.QM,arXiv,
mb-q-bio-QM-004,https://arxiv.org/abs/2603.01682,q-bio.QM,arXiv,
mb-q-bio-QM-005,https://arxiv.org/abs/2603.01849,q-bio.QM,arXiv,
mb-q-bio-QM-006,https://arxiv.org/abs/2603.01965,q-bio.QM,arXiv,
mb-q-bio-QM-007,https://arxiv.org/abs/2603.02165,q-bio.QM,arXiv,
mb-q-bio-QM-008,https://arxiv.org/abs/2603.16894,q-bio.QM,arXiv,
mb-q-bio-QM-009,https://arxiv.org/abs/2603.02665,q-bio.QM,arXiv,
mb-q-bio-QM-010,https://arxiv.org/abs/2603.05534,q-bio.QM,arXiv,
mb-q-bio-QM-011,https://arxiv.org/abs/2603.02753,q-bio.QM,arXiv,
mb-q-bio-QM-012,https://arxiv.org/abs/2603.03237,q-bio.QM,arXiv,
mb-q-bio-QM-013,https://arxiv.org/abs/2603.03603,q-bio.QM,arXiv,
mb-q-bio-QM-014,https://arxiv.org/abs/2603.03604,q-bio.QM,arXiv,
mb-q-bio-QM-015,https://arxiv.org/abs/2603.05541,q-bio.QM,arXiv,
mb-q-bio-QM-016,https://arxiv.org/abs/2603.04074,q-bio.QM,arXiv,
mb-q-bio-QM-017,https://arxiv.org/abs/2603.04081,q-bio.QM,arXiv,
mb-q-bio-QM-018,https://arxiv.org/abs/2603.06694,q-bio.QM,arXiv,
mb-q-bio-QM-019,https://arxiv.org/abs/2603.04480,q-bio.QM,arXiv,
mb-q-bio-QM-020,https://arxiv.org/abs/2603.04622,q-bio.QM,arXiv,
mb-q-bio-QM-021,https://arxiv.org/abs/2603.04638,q-bio.QM,arXiv,
mb-q-bio-QM-022,https://arxiv.org/abs/2603.06740,q-bio.QM,arXiv,
mb-q-bio-QM-023,https://arxiv.org/abs/2603.06087,q-bio.QM,arXiv,
mb-q-bio-QM-024,https://arxiv.org/abs/2603.06756,q-bio.QM,arXiv,
mb-q-bio-QM-025,https://arxiv.org/abs/2603.06567,q-bio.QM,arXiv,
